ID;SXEJL;B0K;YO
QTBE6;789;80;215
AQJGN;440;7;408
BO0;493;104;630
IOQ8;164;977;165
T4VO4;240;261;760
4D;383;508;999
G9;781;185;471
NV3;338;941;557
YEHYH;202;999;222
OKJ;390;53;247
QPAAM;953;113;934
V6;982;659;431
1LS;669;633;451
S0U2;670;537;396
POR6Q;101;139;562
PXY7T;246;283;35
X6XZO;970;806;610
AEIDS;139;103;671
5WXX;631;654;334
BG;380;634;896
WF20;32;598;558
5BXD1;468;506;315
JLCL;671;30;485
L64KA;638;781;611
T8HU;201;411;221
V7QTL;774;442;463
K2OE7;199;322;301
GMZ;479;770;119
Q6SPO;664;242;981
U5M;788;826;10
X0TO;746;596;329
WEW9;100;36;446
EK;145;726;197
COJI;495;15;15
LWNQ6;65;571;264
LYEC;230;484;512
SWI;869;383;887
8M;43;25;702
COOPQ;563;606;549
UBSTF;670;715;935
NBE;790;392;838
2BWQ;22;507;324
4G;449;73;541
E415;491;710;44
1L;188;715;286
N7QSQ;775;945;12
X08;760;623;801
CVP;889;674;422
BM;672;988;626
JW;242;178;758
YU;430;417;268
PSE;885;631;582
6L;955;530;45
YH;146;416;293
SWH8;956;188;922
CT8O9;381;522;905
L7F;591;291;774
Q0L;888;819;144
3D0;398;526;13
BVNC;724;224;763
BY;82;871;971
7VF;312;568;173
GQW7;599;882;394
I2WQD;587;390;630
9F8;899;450;149
P7;666;564;459
P6KN4;110;335;363
A89H;528;625;994
WMB;342;980;732
MN;807;137;296
U17AR;373;453;163
A5EH7;327;133;69
37Q0E;360;449;556
QYS7X;444;289;27
MPX;144;185;915
8GDX;188;320;168
8X4;240;277;83
QM;804;169;838
YYKTX;335;698;816
0FLI8;158;590;218
F89J;553;659;94
8O;805;461;152
OA;117;481;47
PN;916;404;301
4K;573;274;500
54W1;143;281;50
1K2RM;363;120;475
H3WR;945;936;480
FSKOB;368;79;217
19XCD;536;738;128
NVT5;494;351;84
U6NO9;80;400;215
9Z5;536;345;659
GC;313;90;941
OKKU;318;256;478
E7W;445;708;891
0S;351;829;828
0YR;402;986;14
WC;727;740;367
Q2;485;108;915
21NNW;434;921;346
XMHV;984;495;205
31;135;406;219
HJ;77;824;468
PW;534;97;124
HAH0;32;321;944
GDCI;270;126;956
X9;649;274;186
UH;630;789;903
D8A;937;363;346
1F9C;463;625;26
9MPKO;667;198;989
6TW;146;950;685
TC9;544;208;560
I84Q;537;843;980
UM;459;912;228
E1;79;651;500
CLG7;545;404;570
BQZ7;209;541;319
76B;477;491;295
9W;135;659;572
VGI;656;749;458
8CZ6;166;377;307
6LDB;624;458;313
NTAII;41;954;875
MUF;919;462;632
A049P;420;857;941
K66JI;510;907;406
ALP4Z;186;279;856
30OJ9;116;919;467
KNCGL;835;781;999
0SN;563;620;649
FB;180;584;912
7D;806;622;170
S2EVH;222;86;124
CP;957;750;415
X1T3F;584;773;341
O9V;515;231;185
EUND;902;16;683
A0X;187;265;244
2GT6W;621;339;402
14F;72;728;391
4VCS4;72;837;570
W9J;119;172;325
UQ;57;456;123
CM7E9;724;686;553
X6H3C;564;972;938
N460D;915;293;399
1MQX;570;590;473
9AFM;366;917;193
YD;258;110;435
AF;336;352;536
IKAYS;494;463;639
DH;408;880;416
LY87F;774;376;873
3BF;832;640;19
CL6G;876;904;459
ILV;478;912;867
85;451;996;650
CL;448;53;79
NZ;888;207;414
M0IBT;344;314;345
GG;409;224;66
VL1W;871;114;107
5I2;713;929;816
6DBD7;711;294;291
U95Q;203;572;715
W6V;698;431;509
R8;850;235;63
XF1;898;152;951
5K;164;305;663
F1;187;92;878
ZAKA;166;191;480
PMA;579;394;810
3T6;524;527;988
6M;661;661;351
MS;315;592;496
OD09;561;526;507
1XP;562;242;286
YMEPR;947;591;627
PT5M;732;773;210
5Y;119;200;882
DSPFG;110;845;865
BA6CF;79;142;370
CH;455;320;953
HEKO;369;500;406
O5RFE;206;468;971
AXN6;122;47;344
RG;361;865;923
GUV;72;816;695
LQ;891;701;703
W875Q;212;574;848
LP;690;45;723
AJMT;911;377;988
KLY35;536;546;187
LOM4;266;521;488
MB;106;221;469
7P;674;267;927
9K;607;591;565
R80F;230;790;168
J7HY;422;510;722
C8424;194;220;535
WMF;973;234;997
9R;715;840;817
3Z;420;66;676
EU;772;198;301
WLFPO;659;521;984
Q6;379;413;965
QI;352;325;547
AO;839;335;672
Y9;851;856;153
ACJR;604;522;265
QCS5;437;697;871
UE;238;484;99
THNN;796;33;244
0C95F;376;449;168
FN44;848;955;956
N9;564;628;90
TQMTE;567;88;305
WY4H;278;840;115
KBYXK;496;810;451
STPZ;180;769;660
HR;98;120;413
WDK;109;293;222
EQ;546;30;478
VLZ5;904;872;267
CY2;76;627;797
PL4;829;434;210
GPF;697;348;499
OL;71;279;517
5W2;552;677;419
BW;978;463;630
D03;917;78;325
NT;773;266;535
HNI;744;467;637
6TS4A;836;879;829
U2X;250;591;238
EFSNQ;576;306;955
CJ;369;531;347
EW7;916;213;660
C3P;915;570;548
73;59;67;667
ZN;865;235;910
B2VH;801;563;511
VV;610;749;766
VRTC;555;172;855
RLJRO;237;512;866
6NE;604;451;727
2G;263;616;681
8FUQ;841;293;527
CGV;66;353;971
CL50;688;253;35
0DPDU;677;318;909
VY5B6;876;762;483
JOBC;85;82;95
05ZT;556;392;144
Z9;501;146;143
S2L;592;714;107
7K;656;93;872
W7;140;766;793
8JR;674;518;292
ZPFI9;227;860;715
4L;260;264;413
9MP;593;161;16
ZI;813;225;53
74T7R;884;540;379
BB;5;163;213
OZ4;722;640;399
H3;87;469;204
OJMTJ;821;577;751
X6JQ;197;863;8
QOHB;420;747;512
II3TW;632;55;686
CP3;529;428;427
KXK3;913;51;540
30MY;224;382;61
KRMA;636;716;868
W0S1;725;687;769
EU9F;538;445;398
8L;278;948;830
M4;408;824;616
V4D;365;725;275
43SHJ;608;966;877
372;326;530;890
0J;658;168;187
LE8;551;860;703
CC554;855;711;371
PE;785;987;893
AUVQU;116;760;637
QSS3;780;933;58
70;418;462;450
AZRRQ;231;675;617
RTS;605;632;386
GJ;971;214;421
HMG;640;639;91
MQE;253;450;319
BX;524;995;107
ZF9;970;74;252
57;863;567;922
4SW;377;990;667
87;497;3;193
94NBT;917;33;853
BMOS;457;212;943
RN;253;110;405
UIU;246;480;887
TNN7B;473;681;802
HMOF;597;784;926
7Y;632;884;841
MZ;593;471;103
6P;740;377;711
YNS;933;387;76
8N;881;225;712
5QD;63;695;73
53;273;585;70
QN2;46;488;60
VDDZI;476;101;684
OHZY;871;608;384
WWJXW;137;648;585
UG;151;578;640
LTQ;417;763;882
WO26W;927;376;398
E9;469;995;663
NHAE6;478;163;684
83;767;511;160
7;788;743;334
BV;237;753;593
HMQMP;262;740;695
ME;246;652;129
ZS;849;916;840
V1L;896;568;143
W82O;854;621;282
51;852;486;372
AG4O;276;158;616
33E;341;569;873
II;450;147;281
LK54R;632;854;909
AW;411;481;496
3CO;60;295;555
6FB;458;144;328
TMBTV;113;155;794
EI52;880;390;257
K1;705;524;155
U2I;885;236;381
W40;772;126;475
W22B;950;863;515
01RVS;352;273;133
71C;349;750;234
XYGNX;378;822;257
Q7Q5;477;825;457
QFFC;865;242;505
8HOT;506;117;704
O6JQ;878;821;389
5T;271;567;521
HE;376;535;385
2H;372;183;870
UYBD;679;548;574
UINW6;626;892;112
0Z;940;934;602
0VC;75;625;555
AAV5H;325;248;691
TY4;583;693;185
0Z0XN;220;119;11
38MQW;79;112;278
16;900;644;468
LY71;289;304;320
5VZR6;986;263;184
EC;937;986;332
3Y;935;490;414
77M1K;328;935;73
79;745;936;704
MJ;877;449;480
Y84HQ;596;30;961
5F;951;530;157
UHO3;856;396;307
C1;28;51;940
KKCV;554;356;804
EZ;667;12;726
XI;166;643;937
3NCNR;602;471;584
7TZ7;57;377;700
TZY;519;116;562
0TBV;763;102;387
S6;564;863;925
JD5GP;952;833;634
WAY20;391;907;931
APJC;358;589;978
KL;278;373;55
9VL;839;426;42
RXN;478;812;77
MQK7;283;542;439
YGY3P;583;486;710
BO;778;272;207
ANO;401;42;156
LP0;703;78;598
G4RS;495;880;946
3JZ7;902;90;815
RT0D;597;841;384
L0N7;44;622;854
FDBRQ;609;567;394
SQDSF;874;331;930
IJEN;137;829;375
NY0P;905;619;413
ZD47;294;460;318
YNWO;424;714;385
44I4;714;382;514
XG5;72;407;458
2EZ;446;352;474
FQPYZ;808;420;890
SYEO;102;217;378
Z4ECX;85;661;878
XT;501;874;136
29SXP;855;21;554
3AD;130;301;627
9DO;613;772;44
HGJ;964;346;341
3QZC5;307;477;767
QMW2S;357;848;294
OH1;552;117;452
BH;225;286;51
F6R;2;93;830
K88E6;412;53;548
3FSW;869;209;633
NJ259;727;525;742
VV7;488;523;837
2D;943;256;468
L2;880;619;66
JR;385;602;472
2BT6;397;46;691
AV;552;907;914
AAV;34;305;153
CCO55;468;722;42
JC6;303;49;642
FR;651;981;940
3CM;292;275;229
W37DU;503;928;503
RAG9W;507;271;744
1S;922;500;952
60LW;559;177;302
Z0W3;916;319;45
I2U6V;815;169;293
41UP;529;608;549
UOYXZ;528;989;904
WJ9P;997;131;756
F7XW;405;887;950
SK1;74;198;527
7WNWV;54;56;579
F82;256;126;13
JXM9;636;610;192
XFNJ;434;194;496
X5H8;81;721;758
4I5G;821;61;858
P5IA;267;725;543
44SQ;941;727;91
YZXT;710;647;980
YAJSF;702;124;390
4MFL;485;304;979
LJ2G4;267;999;260
T7E;290;176;798
Y3X;669;89;475
B8Y;61;979;769
IO;417;721;977
4J5PN;248;981;520
1MVY;89;417;596
TYN5;340;944;624
VFCVA;871;145;22
90C;246;681;639
I7TBM;20;115;584
5ZYWI;334;226;567
SN2J;514;542;996
B6;696;72;665
DSSUZ;533;566;158
26WE;591;205;230
I912;870;372;955
D3D;927;948;620
IHXI;890;990;9
XX9;926;408;257
1O8LZ;431;414;740
OC99;188;979;714
VRIV;326;36;71
JXS4;569;594;265
KQ;352;673;329
8JJSO;829;305;93
MGK;664;28;724
P032;114;948;253
F7X;673;756;32
8B30B;486;386;323
BV2AG;854;619;952
OZDIT;435;993;963
Z46;335;626;887
A4AK;580;466;661
NTBO;715;690;493
B8E;942;261;989
VG28;356;911;952
8GEQ;523;619;560
MB3TC;979;159;282
56C;417;524;103
EY;775;870;335
GZI1;155;326;470
UB2;576;678;762
MZ1;701;926;619
Z51T;157;73;516
BQ6;703;777;350
7M;117;283;881
24S;638;233;233
JG6;966;105;287
OX4A5;689;284;514
W5V;970;229;466
OPY21;690;478;199
CL8XO;36;325;660
TV26N;77;514;457
28RSS;77;267;881
QV;780;808;55
X4S;910;28;529
FCIF;449;417;882
1V;813;514;773
N1G;501;534;782
2X;593;469;168
X0K;327;660;147
Q99;180;642;205
1O;736;614;956
GVH;191;366;321
5I;102;172;13
Z5R;157;123;978
ZHEE;468;24;258
6EU7;136;511;308
ATHC;650;943;69
OWX;847;909;303
5O;731;846;497
WQ;83;259;161
0PW0;6;219;683
TAU;430;322;812
T37F;19;581;446
LCOY;880;244;839
VRS;898;363;254
N05;117;764;96
08LPL;410;374;522
Q5MCY;475;654;355
EKC4;898;486;589
19;568;30;644
K5E;286;458;896
0M1;985;68;156
NL;829;222;706
2MO;825;447;681
U8P;932;780;129
JT;996;895;646
0;856;738;472
7GO;677;754;324
BST5Z;914;615;632
9P9;194;973;774
ODCXP;251;72;847
H55;769;355;953
03Y;692;905;643
56;858;264;619
RVLC;131;352;925
0MYUC;622;801;600
6MT;668;506;774
6D;266;67;211
NY24;394;604;489
U9Q;345;166;41
7M8;579;213;527
17R;360;887;641
UB;790;570;71
KVKQ5;107;939;241
ML;486;739;503
NQ7;333;434;16
7E;192;82;925
YB2;796;24;383
T51;3;172;283
GMD;227;656;482
6MM2G;320;415;373
CHKR;703;248;193
HH;658;628;657
C0E;609;813;254
ML26H;280;888;874
VU;662;865;932
JPAXY;209;262;167
4GQ6Z;510;164;745
O4TT;356;433;132
DX;496;600;255
0ZF;462;905;808
ZZM;576;842;425
CF;626;574;180
TFUY;604;279;182
OKYB;526;460;513
BY0I;114;917;198
OLNE;200;883;28
D0;446;843;515
2W7;716;168;455
YOLC;478;84;395
VDZ;281;305;672
0LR;722;984;604
1PAM;101;55;324
KR;2;430;559
HE3;339;441;367
A8I5S;820;780;122
CW7;595;751;870
ZXOH;111;527;415
6W;153;829;537
1U;552;527;230
FMH;452;187;104
LJC;757;191;937
TITFN;566;679;32
5YC;726;756;364
7L;600;926;873
AJL4;659;646;629
M0I;26;912;429
OB94S;392;371;346
130I;341;658;796
NFL;406;251;555
X7LXT;465;636;320
NE7;246;510;498
H9QM2;552;301;585
Q1UJX;137;725;937
3JW;83;352;248
Q3;299;363;454
49S;200;919;725
CL7C;68;591;255
A5;400;248;719
35BDO;479;965;557
1E;80;26;542
CV;897;431;298
T0;114;570;417
385;144;200;949
GMY;704;623;993
HA2UJ;281;815;661
I3;97;468;602
EG;874;162;40
5HN;923;588;403
USU;527;793;78
OMRJR;73;742;137
3GWH;966;664;520
0UQ;401;632;206
EUAZF;456;598;336
7C;423;584;112
PP;755;590;267
E52DN;1;323;783
YITA;370;153;675
N2;752;65;769
AX8;426;902;346
X8X;355;135;579
WVAA;694;300;494
JZ;162;192;544
TA;361;440;244
TO5ZV;884;821;315
B0;514;80;76
N67;469;922;992
FV5F;954;534;131
2B;770;462;92
Q55P;615;886;160
3W;966;186;385
QIR;180;757;835
IUES;14;846;338
OSI6B;500;760;744
FT3IJ;661;52;416
SBN7;787;372;866
LILY3;312;841;100
J3DR;968;243;540
DQV;834;514;416
YZR2P;232;901;537
9XG0N;687;609;431
A8AJ;777;159;590
3B;939;201;956
5A2OO;534;276;259
FIX2;333;86;256
0K;877;769;397
PWGJ;225;765;101
VJ;935;665;833
XJ;806;987;317
8ER;143;63;6
4E9B;403;687;658
82;1;717;317
NGDPQ;138;708;713
EGS;110;900;208
OC1;775;958;365
RY;815;562;941
8NEDP;404;144;796
4KI9;575;36;702
Z5Z8;253;737;658
1WG6;280;906;643
1P;636;171;830
XH;69;754;835
7XSIA;696;388;108
TDI1I;262;56;983
N9X;706;490;17
FD2;575;680;371
KFRNI;380;499;438
LLQ;449;80;882
G1;499;233;847
4779;850;86;445
8J;248;9;550
Z7FOJ;375;749;962
MQ1;619;208;661
X8VD;971;590;684
XX2R;528;10;299
ZVEDS;249;167;394
6RJZ;210;632;4
YI;941;209;907
DBMV6;644;522;608
TZ;548;434;708
N7IO;575;409;744
J3Y;771;211;753
BH8R;263;14;873
6D0WV;558;906;742
BK1W;870;377;503
AHJ;984;277;44
WG8XB;326;634;230
6JK;823;728;807
UUD;587;346;270
MKQ39;249;632;185
VTZMZ;580;703;244
KN7;151;760;986
D3E0X;90;532;713
YX;127;607;570
FHBM;822;601;262
42CPN;869;163;450
ES;95;265;45
CYD1U;592;22;214
UL;702;992;975
X7XC5;60;49;263
4KW;458;838;640
648X7;314;414;104
MW;284;8;249
PS7;302;355;744
QTE5;756;860;550
T1E;108;28;658
ZC57;192;19;935
3U;558;129;581
YBOPM;77;280;219
C0;245;719;167
OI;558;507;897
5AR;448;132;805
KY6D8;22;606;254
8KRGH;488;935;109
DJ;491;388;656
GUF;534;570;837
TS;914;572;538
S4;708;669;585
QNL;108;820;896
214N;176;139;1
58;846;542;29
XK;643;69;864
CE5W;750;294;82
FL;398;281;185
Q3B;579;987;626
SID;98;613;906
ZLLX1;517;364;889
JGNL;580;769;433
8EP3K;821;43;431
PQD2;936;372;377
9LVR;112;275;270
66MD;482;241;653
596M;413;850;191
X7RV;300;739;513
VH;776;402;526
1QWSL;256;274;806
G7Y6;51;100;484
ROQJ2;323;171;661
UCUT;477;616;640
15B;44;878;471
EZ0;658;271;831
D98J;780;792;449
KM;624;676;126
UXA5;609;884;959
L9;288;962;747
OX;628;407;714
DMR9;312;786;781
1SME;636;328;733
U8BX;823;609;761
7H;532;796;337
4J;470;154;957
ZFWCH;823;574;190
3G79;570;195;200
8S;611;372;101
R3;827;808;635
42P4;617;953;195
8KC7W;365;374;915
16W;471;664;303
ZH;941;8;106
UX;835;384;111
NRVP;804;763;131
7KZ;137;455;547
XTK;993;666;932
1SHFT;707;306;982
GI;183;811;146
CJV;443;955;353
QFY;836;350;360
MZREM;868;110;249
JR4;945;353;19
RZ;531;987;64
L7U1T;756;505;215
TM;272;727;707
93;891;558;697
48;455;74;421
2D2;298;538;63
CIDCI;152;613;647
XA;654;709;545
VYT;977;87;308
XOR8;477;191;953
0M;775;980;16
FKMP;863;554;172
R9KLL;658;142;761
VYSP2;725;322;216
C2Q;911;279;582
IH0CA;177;351;963
M00K;857;894;540
BBU;775;759;980
US74X;556;22;699
QE;395;663;121
SN;846;721;797
4G9K9;910;68;778
INQ3Q;141;532;537
5IKA;913;588;876
3MXHJ;326;765;298
V0;620;737;80
DY;762;668;705
EM9;673;57;909
DN71;122;25;344
A85GR;356;216;919
ZA6O;971;562;809
GWI00;807;804;707
R9;715;556;691
A86Y;507;782;499
SB6;83;375;295
DZW;246;151;589
N1E;696;727;397
P7SHF;765;932;75
N4U;588;186;673
CC9X;866;788;118
DQD9;707;804;233
SF0;211;603;269
TMA;622;164;617
K8B;521;333;811
QZR;823;491;39
QD;454;482;781
EA;962;104;762
HSF;810;118;932
K4M8;641;757;470
A3;665;862;847
OTHOJ;180;759;445
KU;271;595;617
6HF;244;135;882
0V6VV;435;644;300
NWA;85;715;5
KT;669;781;631
VSIM;481;480;219
P8;626;79;791
CBX5;529;993;750
L5P;654;509;656
VTS;190;604;89
WK5UG;859;266;762
UCPK;897;12;373
QB4;554;122;935
TD7;171;982;280
5M7L6;300;210;746
